onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
309.505	0.619	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	134
310.439	0.557	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	135
311.306	0.656	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	136
317.632	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	137
322.643	0.469	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	137
323.427	0.602	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	138
324.344	0.584	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	139
325.244	0.601	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	140
326.161	0.601	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	141
327.062	0.618	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	142
327.995	0.769	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	143
329.079	0.783	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	144
335.522	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a	145
340.533	0.612	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg	145
341.45	0.502	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg	146
342.267	0.635	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg	147
343.218	0.585	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg	148
