onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
7.06777811050415	0.2	invalid_cue	correct	left	n/a	n/a	1
7.28452610969543	0.473828792572021	target_response	correct	left	right	right	1
10.1189160346985	0.2	invalid_cue	correct	right	n/a	n/a	2
10.318990945816	0.453297138214111	target_response	correct	right	left	left	2
13.9036612510681	0.2	valid_cue	correct	right	n/a	n/a	3
14.1037366390228	0.531246423721313	target_response	correct	right	right	right	3
21.373113155365	0.2	invalid_cue	correct	left	n/a	n/a	4
21.5731883049011	0.556435585021973	target_response	correct	left	right	right	4
24.841073513031	0.2	valid_cue	correct	left	n/a	n/a	5
25.0411477088928	0.482287168502808	target_response	correct	left	left	left	5
28.2256689071655	0.2	invalid_cue	correct	left	n/a	n/a	6
28.4257423877716	0.519739627838135	target_response	correct	left	right	right	6
36.5954558849335	0.2	valid_cue	correct	right	n/a	n/a	7
36.7955312728882	0.573108673095703	target_response	correct	right	right	right	7
39.96337890625	0.2	valid_cue	correct	left	n/a	n/a	8
40.1634540557861	0.390475034713745	target_response	correct	left	left	left	8
43.2312638759613	0.2	valid_cue	correct	left	n/a	n/a	9
43.4313390254974	0.371582984924316	target_response	correct	left	left	left	9
46.199038028717	0.2	invalid_cue	correct	right	n/a	n/a	10
46.3991131782532	0.540421724319458	target_response	correct	right	left	left	10
49.4669229984283	0.2	valid_cue	correct	right	n/a	n/a	11
49.6669981479645	0.492705821990967	target_response	correct	right	right	right	11
52.4346971511841	0.2	valid_cue	correct	left	n/a	n/a	12
52.6347713470459	0.341935634613037	target_response	correct	left	left	left	12
55.5025081634521	0.2	valid_cue	correct	left	n/a	n/a	13
55.7025809288025	0.430233001708984	target_response	correct	left	left	left	13
59.3706171512604	0.2	valid_cue	correct	right	n/a	n/a	14
59.5706913471222	0.370050668716431	target_response	correct	right	right	right	14
63.1386878490448	0.2	valid_cue	correct	right	n/a	n/a	15
63.3387634754181	0.583817481994629	target_response	correct	right	right	right	15
66.1064624786377	0.2	valid_cue	correct	right	n/a	n/a	16
66.3065371513367	0.38927173614502	target_response	correct	right	right	right	16
69.1742725372314	0.2	valid_cue	correct	left	n/a	n/a	17
69.3743472099304	0.427196741104126	target_response	correct	left	left	left	17
72.2420830726624	0.2	invalid_cue	correct	right	n/a	n/a	18
72.4421577453613	0.448877334594727	target_response	correct	right	left	left	18
82.3125047683716	0.2	valid_cue	correct	right	n/a	n/a	19
82.5125803947449	0.304238557815552	target_response	correct	right	right	right	19
88.1813607215881	0.2	valid_cue	correct	right	n/a	n/a	20
88.38143491745	0.335556030273438	target_response	correct	right	right	right	20
91.5492827892303	0.2	invalid_cue	correct	right	n/a	n/a	21
91.7493577003479	0.431127309799194	target_response	correct	right	left	left	21
96.7178781032562	0.2	invalid_cue	correct	right	n/a	n/a	22
96.9179520606995	0.419027805328369	target_response	correct	right	left	left	22
99.9857633113861	0.2	valid_cue	correct	left	n/a	n/a	23
100.185837268829	0.496800661087036	target_response	correct	left	left	left	23
103.753835439682	0.2	valid_cue	correct	left	n/a	n/a	24
103.953909158707	0.429352760314941	target_response	correct	left	left	left	24
107.021718978882	0.2	invalid_cue	correct	right	n/a	n/a	25
