onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
218.081	0.568	rating_mouse_trajectory	0.3912	intensity	pleasure	female	EA	old	n/a
220.735	1.314	face	n/a	intensity	happy	female	WC	old	task-faces/1Happy_Model5_1Female_1WC_2Old.mp4
222.049	1.402	rating	0.6015	intensity	happy	female	WC	old	n/a
222.516	0.935	rating_mouse_trajectory	0.6015	intensity	happy	female	WC	old	n/a
224.968	1.315	face	n/a	intensity	disgust	female	African	old	task-faces/4Disgust_Model3_1Female_3African_2Old.mp4
226.284	0.768	rating	0.3224	intensity	disgust	female	African	old	n/a
226.667	0.385	rating_mouse_trajectory	0.3224	intensity	disgust	female	African	old	n/a
229.202	1.316	face	n/a	intensity	sad	male	EA	young	task-faces/6Sad_Model4_2Male_2EA_1Young.mp4
230.519	1.202	rating	0.2314	intensity	sad	male	EA	young	n/a
230.785	0.935	rating_mouse_trajectory	0.2314	intensity	sad	male	EA	young	n/a
232.424	1.312	face	n/a	intensity	surprise	male	EA	old	task-faces/2Surprise_Model1_2Male_2EA_2Old.mp4
233.737	1.068	rating	0.2516	intensity	surprise	male	EA	old	n/a
234.203	0.601	rating_mouse_trajectory	0.2516	intensity	surprise	male	EA	old	n/a
235.643	1.312	face	n/a	intensity	anger	female	WC	old	task-faces/5Anger_Model1_1Female_1WC_2Old.mp4
236.954	0.693	rating	0.7148	intensity	anger	female	WC	old	n/a
237.154	0.493	rating_mouse_trajectory	0.7148	intensity	anger	female	WC	old	n/a
240.878	2.045	face	n/a	intensity	pleasure	male	African	young	task-faces/8Pleasure_Model2_2Male_3African_1Young.mp4
242.923	0.757	rating	0.5429	intensity	pleasure	male	African	young	n/a
243.357	0.324	rating_mouse_trajectory	0.5429	intensity	pleasure	male	African	young	n/a
244.847	1.311	face	n/a	intensity	fear	female	African	young	task-faces/3Fear_Model5_1Female_3African_1Young.mp4
246.158	0.756	rating	0.6764	intensity	fear	female	African	young	n/a
246.441	0.473	rating_mouse_trajectory	0.6764	intensity	fear	female	African	young	n/a
252.081	1.312	face	n/a	intensity	sad	female	EA	young	task-faces/6Sad_Model3_1Female_2EA_1Young.mp4
253.394	0.936	rating	0.3487	intensity	sad	female	EA	young	n/a
253.844	0.486	rating_mouse_trajectory	0.3487	intensity	sad	female	EA	young	n/a
255.32	1.309	face	n/a	intensity	anger	female	African	young	task-faces/5Anger_Model2_1Female_3African_1Young.mp4
256.628	0.752	rating	0.6157	intensity	anger	female	African	young	n/a
256.962	0.418	rating_mouse_trajectory	0.6157	intensity	anger	female	African	young	n/a
259.539	1.308	face	n/a	intensity	disgust	female	African	young	task-faces/4Disgust_Model4_1Female_3African_1Young.mp4
260.847	0.702	rating	0.644	intensity	disgust	female	African	young	n/a
260.98	0.568	rating_mouse_trajectory	0.644	intensity	disgust	female	African	young	n/a
263.769	1.313	face	n/a	intensity	anger	male	African	old	task-faces/5Anger_Model5_2Male_3African_2Old.mp4
265.082	0.785	rating	0.733	intensity	anger	male	African	old	n/a
265.332	0.535	rating_mouse_trajectory	0.733	intensity	anger	male	African	old	n/a
268.002	1.315	face	n/a	intensity	happy	female	African	old	task-faces/1Happy_Model4_1Female_3African_2Old.mp4
269.316	0.985	rating	0.1323	intensity	happy	female	African	old	n/a
269.85	0.452	rating_mouse_trajectory	0.1323	intensity	happy	female	African	old	n/a
271.235	1.316	face	n/a	intensity	fear	male	African	young	task-faces/3Fear_Model1_2Male_3African_1Young.mp4
272.551	1.035	rating	0.1262	intensity	fear	male	African	young	n/a
272.968	0.618	rating_mouse_trajectory	0.1262	intensity	fear	male	African	young	n/a
275.458	2.044	face	n/a	intensity	pleasure	male	WC	old	task-faces/8Pleasure_Model2_2Male_1WC_2Old.mp4
277.503	1.411	rating	0.1687	intensity	pleasure	male	WC	old	n/a
277.553	1.361	rating_mouse_trajectory	0.1687	intensity	pleasure	male	WC	old	n/a
279.418	1.303	face	n/a	intensity	anger	male	WC	old	task-faces/5Anger_Model3_2Male_1WC_2Old.mp4
280.721	0.835	rating	0.5348	intensity	anger	male	WC	old	n/a
281.121	0.435	rating_mouse_trajectory	0.5348	intensity	anger	male	WC	old	n/a
283.628	2.045	face	n/a	intensity	pleasure	male	EA	young	task-faces/8Pleasure_Model4_2Male_2EA_1Young.mp4
285.673	0.758	rating	0.286	intensity	pleasure	male	EA	young	n/a
285.956	0.475	rating_mouse_trajectory	0.286	intensity	pleasure	male	EA	young	n/a
288.596	2.045	face	n/a	intensity	pleasure	female	African	old	task-faces/8Pleasure_Model4_1Female_3African_2Old.mp4
290.641	0.623	rating	0.5975	intensity	pleasure	female	African	old	n/a
290.791	0.473	rating_mouse_trajectory	0.5975	intensity	pleasure	female	African	old	n/a
292.564	1.311	face	n/a	intensity	sad	male	WC	old	task-faces/6Sad_Model1_2Male_1WC_2Old.mp4
293.876	1.571	rating	0.0817	intensity	sad	male	WC	old	n/a
294.492	0.955	rating_mouse_trajectory	0.0817	intensity	sad	male	WC	old	n/a
297.803	1.308	face	n/a	intensity	anger	male	EA	old	task-faces/5Anger_Model3_2Male_2EA_2Old.mp4
299.111	1.621	rating	0.1909	intensity	anger	male	EA	old	n/a
299.461	1.271	rating_mouse_trajectory	0.1909	intensity	anger	male	EA	old	n/a
302.036	1.31	face	n/a	intensity	disgust	male	WC	young	task-faces/4Disgust_Model2_2Male_1WC_1Young.mp4
303.346	0.951	rating	0.2112	intensity	disgust	male	WC	young	n/a
303.596	0.701	rating_mouse_trajectory	0.2112	intensity	disgust	male	WC	young	n/a
306.253	2.045	face	n/a	intensity	pleasure	female	EA	young	task-faces/8Pleasure_Model2_1Female_2EA_1Young.mp4
308.298	1.402	rating	0.0534	intensity	pleasure	female	EA	young	n/a
308.381	1.318	rating_mouse_trajectory	0.0534	intensity	pleasure	female	EA	young	n/a
310.217	1.315	face	n/a	intensity	surprise	female	WC	old	task-faces/2Surprise_Model3_1Female_1WC_2Old.mp4
311.532	1.035	rating	0.2739	intensity	surprise	female	WC	old	n/a
311.899	0.668	rating_mouse_trajectory	0.2739	intensity	surprise	female	WC	old	n/a
313.451	1.315	face	n/a	intensity	happy	male	EA	young	task-faces/1Happy_Model2_2Male_2EA_1Young.mp4
314.767	0.802	rating	0.5934	intensity	happy	male	EA	young	n/a
315.033	0.535	rating_mouse_trajectory	0.5934	intensity	happy	male	EA	young	n/a
317.685	1.316	face	n/a	intensity	fear	female	EA	old	task-faces/3Fear_Model2_1Female_2EA_2Old.mp4
319.002	1.152	rating	0.8038	intensity	fear	female	EA	old	n/a
319.185	0.969	rating_mouse_trajectory	0.8038	intensity	fear	female	EA	old	n/a
321.919	2.052	face	n/a	intensity	pain	female	EA	young	task-faces/7Pain_Model4_1Female_2EA_1Young.mp4
323.97	0.66	rating	0.6015	intensity	pain	female	EA	young	n/a
324.154	0.477	rating_mouse_trajectory	0.6015	intensity	pain	female	EA	young	n/a
326.877	1.312	face	n/a	intensity	sad	male	African	old	task-faces/6Sad_Model2_2Male_3African_2Old.mp4
328.188	1.668	rating	0.3103	intensity	sad	male	African	old	n/a
328.755	1.102	rating_mouse_trajectory	0.3103	intensity	sad	male	African	old	n/a
