onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
104.003	0.2	posner	valid_cue	correct	right	n/a	n/a	21
104.203	0.371	posner	target_response	correct	right	right	right	21
107.671	0.2	posner	invalid_cue	correct	left	n/a	n/a	22
107.871	0.477	posner	target_response	correct	left	right	right	22
110.939	0.2	posner	invalid_cue	correct	left	n/a	n/a	23
111.139	0.42	posner	target_response	correct	left	right	right	23
114.807	0.2	posner	valid_cue	correct	right	n/a	n/a	24
115.007	0.501	posner	target_response	correct	right	right	right	24
121.576	0.2	posner	valid_cue	correct	left	n/a	n/a	25
121.776	0.39	posner	target_response	correct	left	left	left	25
125.144	0.2	posner	valid_cue	correct	left	n/a	n/a	26
125.344	0.401	posner	target_response	correct	left	left	left	26
130.213	0.2	posner	valid_cue	correct	left	n/a	n/a	27
130.413	0.507	posner	target_response	correct	left	left	left	27
134.281	0.2	posner	invalid_cue	correct	right	n/a	n/a	28
134.481	0.475	posner	target_response	correct	right	left	left	28
138.049	0.2	posner	valid_cue	correct	right	n/a	n/a	29
138.249	0.491	posner	target_response	correct	right	right	right	29
141.417	0.2	posner	invalid_cue	correct	right	n/a	n/a	30
141.617	0.531	posner	target_response	correct	right	left	left	30
148.786	0.2	posner	valid_cue	correct	left	n/a	n/a	31
148.986	0.519	posner	target_response	correct	left	left	left	31
154.155	0.2	posner	invalid_cue	correct	left	n/a	n/a	32
154.355	0.486	posner	target_response	correct	left	right	right	32
161.624	0.2	posner	invalid_cue	correct	right	n/a	n/a	33
161.824	0.523	posner	target_response	correct	right	left	left	33
165.192	0.2	posner	invalid_cue	correct	right	n/a	n/a	34
165.392	0.518	posner	target_response	correct	right	left	left	34
168.16	0.2	posner	valid_cue	correct	left	n/a	n/a	35
168.36	0.408	posner	target_response	correct	left	left	left	35
173.329	0.2	posner	invalid_cue	correct	right	n/a	n/a	36
173.529	0.511	posner	target_response	correct	right	left	left	36
176.697	0.2	posner	invalid_cue	correct	left	n/a	n/a	37
176.897	0.522	posner	target_response	correct	left	right	right	37
182.766	0.2	posner	invalid_cue	correct	right	n/a	n/a	38
182.966	0.45	posner	target_response	correct	right	left	left	38
189.235	0.2	posner	invalid_cue	correct	left	n/a	n/a	39
189.435	0.519	posner	target_response	correct	left	right	right	39
192.503	0.2	posner	valid_cue	correct	right	n/a	n/a	40
192.703	0.449	posner	target_response	correct	right	right	right	40
196.671	0.2	posner	valid_cue	correct	left	n/a	n/a	41
