onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
328.311	1.035	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
329.661	1.219	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
331.195	0.935	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
340.532	0.98	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg
341.816	0.618	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg
342.749	0.779	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg
343.833	0.579	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg
344.717	0.652	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg
345.684	0.612	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg
346.601	0.761	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg
347.668	1.085	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg
362.007	0.822	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
363.14	0.722	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
364.174	0.772	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
365.258	1.205	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
366.775	0.987	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
368.076	0.803	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
369.193	0.92	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg
370.426	0.886	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
379.847	0.819	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg
380.98	0.635	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg
381.931	0.564	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg
382.798	0.715	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg
383.815	0.685	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg
384.815	0.964	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg
386.082	0.602	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg
386.999	0.819	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg
398.537	1.392	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg
400.238	0.608	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg
401.155	0.585	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg
402.055	0.707	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg
403.072	0.89	tomspunt	argument?	why_face	yes	no	incorrect	task-tomspunt/F_433.jpg
404.272	0.635	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg
405.223	0.652	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg
406.19	0.672	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg
416.744	1.502	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg
418.561	0.869	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg
419.745	0.818	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg
