onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
213.223	1.311	face	n/a	sex	sad	male	WC	young	task-faces/6Sad_Model2_2Male_1WC_1Young.mp4
214.534	1.702	rating	0.0	sex	sad	male	WC	young	n/a
215.134	1.102	rating_mouse_trajectory	0.0	sex	sad	male	WC	young	n/a
217.449	1.32	face	n/a	sex	surprise	female	African	old	task-faces/2Surprise_Model4_1Female_3African_2Old.mp4
218.769	1.641	rating	0.2921	sex	surprise	female	African	old	n/a
219.686	0.725	rating_mouse_trajectory	0.2921	sex	surprise	female	African	old	n/a
221.693	1.311	face	n/a	sex	anger	male	WC	old	task-faces/5Anger_Model4_2Male_1WC_2Old.mp4
223.004	0.74	rating	0.0061	sex	anger	male	WC	old	n/a
223.054	0.69	rating_mouse_trajectory	0.0061	sex	anger	male	WC	old	n/a
225.932	1.307	face	n/a	sex	happy	female	EA	young	task-faces/1Happy_Model5_1Female_2EA_1Young.mp4
227.239	1.805	rating	0.731	sex	happy	female	EA	young	n/a
227.289	1.755	rating_mouse_trajectory	0.731	sex	happy	female	EA	young	n/a
230.163	1.311	face	n/a	sex	disgust	female	EA	young	task-faces/4Disgust_Model4_1Female_2EA_1Young.mp4
231.474	1.003	rating	1.0	sex	disgust	female	EA	young	n/a
231.674	0.803	rating_mouse_trajectory	1.0	sex	disgust	female	EA	young	n/a
233.381	1.311	face	n/a	sex	surprise	female	WC	young	task-faces/2Surprise_Model3_1Female_1WC_1Young.mp4
234.692	0.819	rating	0.0	sex	surprise	female	WC	young	n/a
235.058	0.452	rating_mouse_trajectory	0.0	sex	surprise	female	WC	young	n/a
236.596	2.048	face	n/a	sex	pain	female	EA	young	task-faces/7Pain_Model2_1Female_2EA_1Young.mp4
238.643	1.685	rating	0.8099	sex	pain	female	EA	young	n/a
238.693	1.635	rating_mouse_trajectory	0.8099	sex	pain	female	EA	young	n/a
242.566	1.312	face	n/a	sex	sad	female	African	old	task-faces/6Sad_Model1_1Female_3African_2Old.mp4
243.879	0.918	rating	0.735	sex	sad	female	African	old	n/a
244.062	0.735	rating_mouse_trajectory	0.735	sex	sad	female	African	old	n/a
245.803	1.31	face	n/a	sex	surprise	male	EA	old	task-faces/2Surprise_Model4_2Male_2EA_2Old.mp4
247.113	0.785	rating	0.0	sex	surprise	male	EA	old	n/a
247.446	0.451	rating_mouse_trajectory	0.0	sex	surprise	male	EA	old	n/a
253.032	1.317	face	n/a	sex	surprise	male	African	old	task-faces/2Surprise_Model2_2Male_3African_2Old.mp4
254.349	0.701	rating	0.0	sex	surprise	male	African	old	n/a
254.549	0.501	rating_mouse_trajectory	0.0	sex	surprise	male	African	old	n/a
256.255	1.312	face	n/a	sex	anger	female	EA	old	task-faces/5Anger_Model5_1Female_2EA_2Old.mp4
257.567	0.635	rating	0.0	sex	anger	female	EA	old	n/a
257.684	0.518	rating_mouse_trajectory	0.0	sex	anger	female	EA	old	n/a
260.483	1.303	face	n/a	sex	sad	female	African	young	task-faces/6Sad_Model3_1Female_3African_1Young.mp4
261.785	1.226	rating	0.8058	sex	sad	female	African	young	n/a
262.269	0.742	rating_mouse_trajectory	0.8058	sex	sad	female	African	young	n/a
264.709	1.311	face	n/a	sex	sad	female	WC	old	task-faces/6Sad_Model2_1Female_1WC_2Old.mp4
266.02	0.674	rating	0.0243	sex	sad	female	WC	old	n/a
266.12	0.574	rating_mouse_trajectory	0.0243	sex	sad	female	WC	old	n/a
268.944	2.045	face	n/a	sex	pleasure	male	EA	young	task-faces/8Pleasure_Model2_2Male_2EA_1Young.mp4
270.989	1.072	rating	0.0979	sex	pleasure	male	EA	young	n/a
271.555	0.505	rating_mouse_trajectory	0.0979	sex	pleasure	male	EA	young	n/a
272.913	2.044	face	n/a	sex	pleasure	female	EA	old	task-faces/8Pleasure_Model1_1Female_2EA_2Old.mp4
274.957	0.604	rating	0.2314	sex	pleasure	female	EA	old	n/a
275.074	0.487	rating_mouse_trajectory	0.2314	sex	pleasure	female	EA	old	n/a
277.881	1.311	face	n/a	sex	surprise	female	EA	young	task-faces/2Surprise_Model5_1Female_2EA_1Young.mp4
279.192	0.919	rating	0.8038	sex	surprise	female	EA	young	n/a
279.242	0.869	rating_mouse_trajectory	0.8038	sex	surprise	female	EA	young	n/a
281.097	1.313	face	n/a	sex	happy	female	African	young	task-faces/1Happy_Model3_1Female_3African_1Young.mp4
282.41	0.818	rating	0.7836	sex	happy	female	African	young	n/a
282.626	0.602	rating_mouse_trajectory	0.7836	sex	happy	female	African	young	n/a
285.317	2.045	face	n/a	sex	pleasure	male	African	old	task-faces/8Pleasure_Model3_2Male_3African_2Old.mp4
287.361	0.901	rating	0.0566	sex	pleasure	male	African	old	n/a
287.411	0.851	rating_mouse_trajectory	0.0566	sex	pleasure	male	African	old	n/a
290.283	1.314	face	n/a	sex	surprise	male	African	young	task-faces/2Surprise_Model5_2Male_3African_1Young.mp4
291.596	1.719	rating	0.2354	sex	surprise	male	African	young	n/a
292.03	1.285	rating_mouse_trajectory	0.2354	sex	surprise	male	African	young	n/a
293.516	1.315	face	n/a	sex	disgust	male	WC	old	task-faces/4Disgust_Model2_2Male_1WC_2Old.mp4
294.831	0.668	rating	0.0	sex	disgust	male	WC	old	n/a
295.081	0.418	rating_mouse_trajectory	0.0	sex	disgust	male	WC	old	n/a
298.749	1.317	face	n/a	sex	anger	male	EA	young	task-faces/5Anger_Model2_2Male_2EA_1Young.mp4
300.066	0.951	rating	0.0	sex	anger	male	EA	young	n/a
300.533	0.485	rating_mouse_trajectory	0.0	sex	anger	male	EA	young	n/a
302.983	1.319	face	n/a	sex	anger	male	WC	young	task-faces/5Anger_Model1_2Male_1WC_1Young.mp4
304.301	0.685	rating	0.0	sex	anger	male	WC	young	n/a
304.568	0.418	rating_mouse_trajectory	0.0	sex	anger	male	WC	young	n/a
307.216	1.303	face	n/a	sex	happy	male	EA	old	task-faces/1Happy_Model3_2Male_2EA_2Old.mp4
308.519	0.891	rating	0.0392	sex	happy	male	EA	old	n/a
308.569	0.841	rating_mouse_trajectory	0.0392	sex	happy	male	EA	old	n/a
