onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
208.948	1.302	face	n/a	sex	surprise	female	WC	old	task-faces/2Surprise_Model2_1Female_1WC_2Old.mp4
210.25	1.043	rating	0.5752	sex	surprise	female	WC	old	n/a
210.616	0.676	rating_mouse_trajectory	0.5752	sex	surprise	female	WC	old	n/a
213.168	1.3	face	n/a	sex	sad	male	WC	young	task-faces/6Sad_Model2_2Male_1WC_1Young.mp4
214.468	0.675	rating	0.0	sex	sad	male	WC	young	n/a
214.785	0.358	rating_mouse_trajectory	0.0	sex	sad	male	WC	young	n/a
217.398	1.305	face	n/a	sex	surprise	female	African	old	task-faces/2Surprise_Model4_1Female_3African_2Old.mp4
218.703	0.707	rating	0.0	sex	surprise	female	African	old	n/a
219.02	0.39	rating_mouse_trajectory	0.0	sex	surprise	female	African	old	n/a
221.63	1.308	face	n/a	sex	anger	male	WC	old	task-faces/5Anger_Model4_2Male_1WC_2Old.mp4
222.938	0.705	rating	0.0	sex	anger	male	WC	old	n/a
223.238	0.405	rating_mouse_trajectory	0.0	sex	anger	male	WC	old	n/a
225.847	1.309	face	n/a	sex	happy	female	EA	young	task-faces/1Happy_Model5_1Female_2EA_1Young.mp4
227.156	0.77	rating	1.0	sex	happy	female	EA	young	n/a
227.523	0.403	rating_mouse_trajectory	1.0	sex	happy	female	EA	young	n/a
230.084	1.307	face	n/a	sex	disgust	female	EA	young	task-faces/4Disgust_Model4_1Female_2EA_1Young.mp4
231.391	0.685	rating	1.0	sex	disgust	female	EA	young	n/a
231.691	0.385	rating_mouse_trajectory	1.0	sex	disgust	female	EA	young	n/a
233.295	1.314	face	n/a	sex	surprise	female	WC	young	task-faces/2Surprise_Model3_1Female_1WC_1Young.mp4
234.609	0.801	rating	0.3002	sex	surprise	female	WC	young	n/a
234.959	0.451	rating_mouse_trajectory	0.3002	sex	surprise	female	WC	young	n/a
